times,ratio
6.0,6.362843458635729
6.1,6.140200281743507
6.2,6.042516584712572
6.3,5.923306636915982
6.4,5.771679176298533
6.5,5.547542713415814
6.6,5.393293148616634
6.7,5.213603305533389
6.8,4.855911820201044
6.9,4.42851463917835
7.0,4.238256629509009
7.1,4.051102812055188
7.2,3.933823163196327
7.3,3.6930927968711087
7.4,3.642697027065039
7.6,3.1879088864370617
7.8,2.58058419064985
8.0,2.156004481424073
8.2,1.7387892337428368
8.4,1.4139261601288142
8.6,1.0691413157335257
8.8,0.8322574657409634
9.0,0.7791737171364783
7.7,2.8661903453604745
7.5,3.3928398338863097
7.9,2.4479439743820657
8.1,1.844010453427724
8.3,1.4231794379100908
8.5,1.188403841192306
8.7,0.9048042775180266
