log_age,H_wind,He_wind,Z_wind,E_wind,E_sn,H_sn,He_sn,Z_sn
6.0,0.005772817,0.00261911,0.0001708934,5188815000.0,0.0,0.0,0.0,0.0
6.1,0.007267955,0.005891086,0.0002643643,4338212000.0,0.0,0.0,0.0,0.0
6.2,0.007587973,0.009674492,0.0003451463,4010015000.0,0.0,0.0,0.0,0.0
6.3,0.007759493,0.0161338,0.0004761866,4149457000.0,0.0,0.0,0.0,0.0
6.4,0.006261352,0.01731572,0.0005918989,7786232000.0,0.0,0.0,0.0,0.0
6.5,0.005007329,0.01292013,0.001910761,12762340000.0,2.558035e+40,0.0,6.567492e-05,0.001598299
6.6,0.00468359,0.009087139,0.00172261,14424160000.0,2.319335e+40,0.0,5.948113e-05,0.001402254
6.7,0.004520811,0.006044851,0.0008420034,10811360000.0,2.70955e+40,0.0,6.909736e-05,0.001748688
6.8,0.00368996,0.003756543,0.0003452736,4804433000.0,3.129845e+40,2.143615e-05,0.000124682,0.001831894
6.9,0.002724119,0.002337998,0.0001294696,2889848000.0,3.4329439999999997e+40,0.0004223926,0.0007362891,0.001526783
7.0,0.00167877,0.0012435,7.104365e-05,1491148000.0,3.3506239999999998e+40,0.0007748823,0.0009104929,0.001249578
7.1,0.001457188,0.0009576515,5.157118e-05,764051200.0,3.049368e+40,0.0007746715,0.0008023322,0.0007339679
7.2,0.0009027424,0.0005443916,2.996458e-05,354888700.0,2.407356e+40,0.0006070456,0.0005873654,0.0003603551
7.3,0.0004837476,0.0002844297,1.575837e-05,145995800.0,1.428182e+40,0.0003920888,0.0003506635,0.0001635184
7.4,0.0004548518,0.0002855732,1.51344e-05,69595430.0,2.338543e+40,0.0005979876,0.0004963965,0.0001549728
7.5,0.0003333961,0.0002202163,1.213624e-05,46174640.0,1.223077e+40,0.0003561385,0.0002797312,6.27333e-05
7.6,0.0002862128,0.0001918687,9.965995e-06,30814920.0,1.032608e+40,0.0003274484,0.0002452895,3.396419e-05
7.7,0.0002540612,0.0001756286,1.00474e-05,20904920.0,3.412749e+39,0.0001023573,7.842896e-05,9.845676e-06
7.8,0.0004216638,0.0002882698,1.612175e-05,15322100.0,7.533493e+38,1.676883e-05,1.459535e-05,4.276236e-06
7.9,0.0002243497,0.0001506208,8.110747e-06,8518730.0,3.638699e+38,7.770513e-06,6.964435e-06,2.665453e-06
8.0,0.0002365254,0.0001551848,8.278021e-06,5158075.0,1.140945e+38,2.112326e-06,1.774247e-06,2.943346e-07
8.1,0.0002431842,0.00015341,8.199167e-06,3696623.0,1.109082e+38,3.88595e-06,2.896441e-06,4.089731e-07
8.2,0.0001487299,9.190883e-05,4.939271e-06,1482208.0,0.0,0.0,0.0,0.0
8.3,0.0001787936,0.0001032115,5.776029e-06,1243179.0,1.185064e+37,3.860939e-07,2.734773e-07,1.602325e-08
8.4,9.689295e-05,5.326602e-05,3.081762e-06,693811.0,0.0,0.0,0.0,0.0
8.5,8.446429e-05,4.567804e-05,2.673091e-06,327590.5,0.0,0.0,0.0,0.0
8.6,5.625846e-05,2.985261e-05,1.764775e-06,293162.8,0.0,0.0,0.0,0.0
8.7,5.615713e-05,2.952019e-05,1.75475e-06,124342.3,0.0,0.0,0.0,0.0
8.8,4.687385e-05,2.459776e-05,1.464513e-06,160362.6,0.0,0.0,0.0,0.0
8.9,3.973872e-05,2.055406e-05,1.235923e-06,71952.47,0.0,0.0,0.0,0.0
9.0,2.697143e-05,1.378812e-05,8.341875e-07,41711.36,0.0,0.0,0.0,0.0
9.1,1.324077e-05,6.702866e-06,4.08814e-07,32033.2,0.0,0.0,0.0,0.0
9.2,8.873154e-06,4.501678e-06,2.743471e-07,22897.72,0.0,0.0,0.0,0.0
9.3,1.267242e-05,6.438309e-06,3.921063e-07,17472.39,0.0,0.0,0.0,0.0
9.4,9.402751e-06,4.733928e-06,2.901646e-07,13335.81,0.0,0.0,0.0,0.0
9.5,8.247877e-06,4.11952e-06,2.539074e-07,15526.42,0.0,0.0,0.0,0.0
9.6,5.939956e-06,2.930851e-06,1.821574e-07,7197.741,0.0,0.0,0.0,0.0
9.7,4.582411e-06,2.251502e-06,1.40335e-07,5716.011,0.0,0.0,0.0,0.0
9.8,3.038656e-06,1.476331e-06,9.271791e-08,3100.368,0.0,0.0,0.0,0.0
9.9,2.33523e-06,1.115901e-06,7.085302e-08,3056.269,0.0,0.0,0.0,0.0
10.0,1.175189e-06,5.795015e-07,3.600847e-08,615.467,0.0,0.0,0.0,0.0
10.1,1.407132e-06,6.726374e-07,4.267938e-08,2752.207,0.0,0.0,0.0,0.0
10.2,5.410033e-07,2.61897e-07,1.646781e-08,441.0037,0.0,0.0,0.0,0.0
10.3,9.830904e-07,4.607962e-07,2.959956e-08,1235.399,0.0,0.0,0.0,263.4247
10.4,2.777149e-07,1.289118e-07,8.329355e-09,753.4716,0.0,0.0,0.0,65.22073
10.5,1.078837e-06,4.975588e-07,3.227525e-08,2686.602,0.0,0.0,0.0,0.0
10.6,1.838898e-07,8.463552e-08,5.492439e-09,5019.205,0.0,0.0,0.0,70.25881
10.7,1.575222e-07,7.211907e-08,4.693564e-09,5239.172,0.0,0.0,0.0,0.0
10.8,1.257951e-07,5.685604e-08,3.732074e-09,3215.91,0.0,0.0,0.0,0.0
10.9,3.964916e-07,1.755695e-07,1.167959e-08,2182.456,0.0,0.0,0.0,0.0
11.0,4.20865e-08,1.872819e-08,1.241688e-09,3.9890420000000003e+46,1385.534,1178.075,1135.581,0.0
